Pos,FG%,3PA,2P%,eFG%,ORB,DRB,TRB,BLK,Proximity
3,0.3,2.2,0.143,0.425,0.5,1.5,2.0,0.5,1
3,0.4,2.3,0.333,0.55,0.3,1.7,2.0,0.3,1
3,0.2,2.0,0.0,0.3,0.7,1.3,2.0,0.7,1
0,0.583,3.9,0.652,0.62,2.8,11.0,13.8,0.9,0
3,0.111,0.2,0.125,0.111,0.2,0.4,0.6,0.0,1
3,0.0,0.3,0.0,0.0,0.3,0.7,1.0,0.0,1
3,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1
0,0.658,0.5,0.696,0.677,1.3,3.1,4.4,0.8,0
1,0.538,1.2,0.634,0.59,1.2,2.1,3.3,0.6,0
1,0.476,2.2,0.533,0.525,1.3,2.5,3.8,0.8,0
4,0.667,0.0,0.667,0.667,1.0,0.5,1.5,0.0,1
0,0.643,0.1,0.667,0.679,0.1,0.4,0.5,0.1,0
2,0.467,1.0,0.545,0.5,0.3,2.3,2.5,0.0,1
3,0.49,0.7,0.542,0.504,0.4,1.8,2.2,0.1,1
3,0.451,2.8,0.487,0.524,0.2,2.2,2.4,0.0,1
0,0.643,0.0,0.643,0.643,1.7,3.8,5.5,0.7,0
0,0.674,0.0,0.674,0.674,1.6,3.8,5.4,0.8,0
0,0.593,0.0,0.593,0.593,2.0,3.8,5.8,0.6,0
3,0.445,2.4,0.465,0.526,0.4,2.2,2.7,0.3,1
4,0.463,2.0,0.512,0.537,0.5,1.2,1.6,0.2,1
4,0.455,0.4,0.429,0.545,0.4,0.4,0.9,0.1,1
4,0.464,5.5,0.529,0.536,0.5,2.8,3.3,0.3,1
0,0.545,1.7,0.608,0.583,1.2,3.3,4.6,0.8,0
2,0.449,6.0,0.449,0.598,0.3,3.0,3.3,0.1,1
4,0.458,1.9,0.529,0.5,1.2,3.4,4.5,1.0,1
4,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,1
4,0.457,2.2,0.52,0.5,1.3,4.0,5.3,1.2,1
4,0.0,1.0,0.0,0.0,0.0,1.3,1.3,0.0,1
4,0.319,2.7,0.35,0.404,0.0,1.2,1.2,0.1,1
4,0.455,4.2,0.629,0.564,0.7,2.0,2.7,0.3,1
1,0.398,4.3,0.586,0.516,1.2,4.7,5.9,1.0,0
3,0.4,3.4,0.75,0.48,0.0,1.6,1.6,0.0,1
1,0.511,0.4,0.547,0.534,0.9,1.4,2.3,0.2,0
4,0.365,1.8,0.516,0.453,0.5,1.0,1.5,0.1,1
4,0.375,2.2,0.417,0.5,0.6,1.1,1.7,0.1,1
4,0.356,1.5,0.579,0.411,0.4,0.9,1.3,0.1,1
2,0.515,1.8,0.61,0.615,1.2,3.4,4.6,0.3,1
2,0.387,4.0,0.515,0.469,0.3,2.3,2.6,0.1,1
0,0.481,0.3,0.591,0.481,0.9,1.1,1.9,0.2,0
0,0.2,0.5,0.25,0.2,1.0,0.5,1.5,0.5,0
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0,0.571,0.3,0.706,0.571,0.8,1.3,2.1,0.2,0
2,0.407,3.3,0.522,0.503,0.6,2.8,3.4,0.3,1
4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.513,2.1,0.598,0.567,0.8,2.6,3.3,0.3,1
1,0.452,5.7,0.526,0.52,1.1,7.4,8.5,0.9,0
4,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1
4,0.373,3.0,0.414,0.458,0.4,2.0,2.4,0.4,1
2,0.403,3.1,0.485,0.471,0.6,2.9,3.5,0.5,1
0,0.495,1.6,0.626,0.566,1.2,1.4,2.6,0.3,0
2,0.435,1.8,0.509,0.51,0.6,1.6,2.3,0.3,1
2,0.429,1.9,0.495,0.508,0.7,1.7,2.4,0.4,1
2,0.571,0.5,0.8,0.571,0.0,1.0,1.0,0.0,1
4,0.476,7.1,0.534,0.554,0.3,4.3,4.6,0.3,1
4,0.411,1.0,0.579,0.466,0.2,0.9,1.1,0.1,1
2,0.441,3.0,0.541,0.523,0.4,2.8,3.2,0.1,1
3,0.39,1.6,0.47,0.429,0.5,1.9,2.4,0.3,1
0,0.534,0.5,0.568,0.551,1.3,2.8,4.1,0.6,0
2,0.444,4.4,0.497,0.492,0.7,2.9,3.7,0.4,1
2,0.447,4.8,0.501,0.496,0.8,3.1,3.8,0.5,1
2,0.435,3.5,0.485,0.481,0.7,2.7,3.4,0.3,1
3,0.404,2.4,0.523,0.449,0.4,1.3,1.6,0.0,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.402,9.8,0.485,0.486,0.4,3.7,4.1,0.4,1
4,0.46,3.7,0.584,0.541,1.4,4.2,5.6,0.9,1
4,0.456,3.4,0.538,0.606,0.8,2.2,3.0,0.4,1
0,0.571,0.0,0.573,0.571,2.5,4.7,7.3,0.6,0
0,0.466,4.1,0.538,0.538,1.5,2.6,4.1,1.2,0
0,0.553,0.2,0.56,0.558,1.9,1.6,3.5,0.5,0
4,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0,1
2,0.4,2.9,0.3,0.55,0.4,1.7,2.1,0.3,1
1,0.43,6.4,0.493,0.553,1.2,6.1,7.2,0.2,0
3,0.44,6.1,0.539,0.555,0.5,4.0,4.5,0.3,1
2,0.263,2.0,0.182,0.342,0.5,1.3,1.8,0.0,1
4,0.398,2.3,0.469,0.516,0.3,1.3,1.6,0.1,1
1,0.466,2.8,0.552,0.526,1.2,3.9,5.1,0.4,0
1,0.456,2.9,0.55,0.513,1.2,3.6,4.8,0.5,0
1,0.489,2.6,0.557,0.553,1.2,4.4,5.6,0.3,0
3,0.375,2.9,0.449,0.445,0.4,2.2,2.6,0.2,1
1,0.496,1.3,0.556,0.591,0.9,1.1,2.0,0.2,0
4,0.484,2.6,0.535,0.539,1.3,4.0,5.2,0.3,1
3,0.393,4.5,0.421,0.476,0.4,2.4,2.9,0.2,1
0,0.6,0.2,0.621,0.607,0.3,1.3,1.7,0.1,0
1,0.445,6.2,0.548,0.542,1.0,4.7,5.7,0.5,0
4,0.405,1.9,0.537,0.444,0.7,1.9,2.6,0.1,1
4,0.507,2.6,0.565,0.585,1.2,2.7,3.8,0.5,1
4,0.482,2.2,0.542,0.554,1.2,2.9,4.0,0.5,1
4,0.409,2.5,0.5,0.474,0.6,1.3,1.8,0.3,1
4,0.417,2.7,0.511,0.482,0.6,1.4,2.0,0.3,1
4,0.0,0.3,0.0,0.0,0.3,0.3,0.7,0.0,1
4,0.533,2.1,0.617,0.591,1.0,2.7,3.8,0.5,1
2,0.399,5.9,0.6,0.55,0.5,2.4,2.9,0.4,1
2,0.333,1.0,0.0,0.5,0.0,0.3,0.3,0.0,1
2,0.395,3.2,0.54,0.516,0.6,1.3,1.9,0.2,1
3,0.485,4.1,0.512,0.552,0.3,2.9,3.2,0.4,1
2,0.5,0.9,0.615,0.563,0.2,0.7,0.9,0.0,1
3,0.296,1.7,0.375,0.375,0.1,1.0,1.1,0.0,1
3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
2,0.4,3.0,0.5,0.5,0.0,3.0,3.0,1.0,1
2,0.46,7.6,0.509,0.539,0.9,3.5,4.3,0.4,1
2,0.436,8.0,0.476,0.52,0.9,3.3,4.3,0.6,1
2,0.493,6.9,0.549,0.564,0.7,3.7,4.5,0.0,1
3,0.481,1.2,0.514,0.505,0.7,2.6,3.3,0.4,1
1,0.46,3.6,0.579,0.532,1.1,3.1,4.2,0.8,0
4,0.484,2.0,0.562,0.565,0.7,2.4,3.1,0.4,1
1,0.462,5.0,0.512,0.578,0.4,1.9,2.3,0.1,0
0,0.629,0.1,0.637,0.631,2.2,4.5,6.7,1.1,0
4,0.357,2.0,0.375,0.429,2.0,3.0,5.0,0.3,1
2,0.436,2.9,0.506,0.564,0.6,1.6,2.2,0.1,1
4,0.393,1.6,0.441,0.467,0.8,1.2,1.9,0.2,1
3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.44,1.4,0.53,0.508,0.4,1.2,1.5,0.2,1
2,0.401,6.5,0.533,0.541,0.2,1.4,1.6,0.2,1
2,0.404,5.1,0.44,0.504,0.9,3.6,4.5,0.5,1
2,0.333,3.8,1.0,0.479,0.2,1.0,1.2,0.0,1
0,0.452,3.1,0.555,0.516,0.6,5.0,5.6,0.5,0
4,0.443,6.6,0.494,0.522,0.6,4.8,5.4,0.3,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.408,7.0,0.429,0.551,0.2,1.7,1.9,0.2,1
1,0.391,1.1,0.463,0.426,1.2,2.2,3.5,0.4,0
1,0.376,1.1,0.448,0.412,1.2,2.5,3.7,0.5,0
1,0.433,0.9,0.5,0.467,1.3,1.4,2.8,0.2,0
3,0.429,2.4,0.481,0.483,0.5,2.0,2.6,0.3,1
3,0.418,4.3,0.48,0.477,0.4,1.8,2.2,0.3,1
2,0.448,9.8,0.533,0.533,0.8,3.4,4.2,0.2,1
1,0.508,1.3,0.541,0.522,2.1,6.2,8.3,1.7,0
2,0.473,5.8,0.568,0.578,0.5,2.9,3.4,0.4,1
0,0.561,0.0,0.561,0.561,2.1,2.4,4.6,0.7,0
0,0.591,0.0,0.591,0.591,1.5,4.5,6.0,1.5,0
0,0.5,0.0,0.5,0.5,3.5,1.5,5.0,0.5,0
0,0.5,0.0,0.5,0.5,2.2,2.0,4.2,0.4,0
0,0.8,0.0,0.8,0.8,2.0,1.0,3.0,0.3,0
2,0.437,2.1,0.548,0.546,0.3,1.2,1.5,0.2,1
2,0.49,1.4,0.541,0.539,0.2,1.2,1.4,0.3,1
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.493,4.5,0.534,0.53,1.4,4.4,5.7,0.4,1
1,0.667,1.0,1.0,0.833,1.0,1.0,2.0,0.0,0
1,0.667,2.0,1.0,0.833,2.0,2.0,4.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.7,0.0,0.0,0.0,0.7,0.7,0.0,1
1,0.434,5.1,0.478,0.507,0.5,3.9,4.4,0.3,0
1,0.474,2.3,0.547,0.531,1.0,1.6,2.6,0.1,0
3,0.484,4.2,0.545,0.564,0.4,2.7,3.0,0.2,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.312,3.2,0.304,0.422,0.1,1.3,1.4,0.1,1
3,0.299,3.1,0.333,0.396,0.1,1.3,1.4,0.1,1
3,0.4,4.0,0.0,0.6,0.0,1.5,1.5,0.5,1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,0.394,3.0,0.418,0.522,0.8,1.6,2.4,0.1,1
3,0.462,4.3,0.504,0.5,1.2,7.1,8.3,0.3,1
0,0.456,3.8,0.506,0.597,0.5,2.5,3.0,0.6,0
4,0.389,2.4,0.5,0.476,0.4,1.3,1.6,0.1,1
4,0.343,1.0,0.381,0.4,0.3,1.6,1.9,0.3,1
1,0.522,1.5,0.599,0.569,1.6,3.8,5.4,0.4,0
1,0.515,1.7,0.61,0.563,1.6,4.1,5.6,0.4,0
1,0.551,0.9,0.561,0.592,1.6,2.8,4.3,0.8,0
2,0.333,0.1,0.375,0.333,0.2,0.3,0.5,0.0,1
4,0.396,2.2,0.612,0.481,0.3,1.4,1.7,0.1,1
3,0.463,1.7,0.526,0.502,0.2,1.7,1.9,0.0,1
3,0.6,1.0,0.75,0.6,0.0,1.0,1.0,0.0,1
1,0.437,5.1,0.511,0.575,0.3,2.3,2.7,0.2,0
2,0.403,1.1,0.488,0.455,0.3,1.1,1.4,0.0,1
1,0.516,2.0,0.557,0.616,1.4,2.2,3.6,0.3,0
0,0.533,0.1,0.561,0.533,1.9,3.7,5.6,1.2,0
2,0.475,2.6,0.526,0.551,0.4,1.6,2.0,0.2,1
3,0.399,1.9,0.455,0.484,0.2,1.2,1.4,0.1,1
0,0.535,1.0,0.563,0.548,3.0,8.1,11.1,0.6,0
4,0.483,1.1,0.551,0.526,0.9,2.4,3.3,0.4,1
4,0.403,3.7,0.455,0.488,0.6,3.0,3.6,0.3,1
4,0.457,4.0,0.609,0.591,0.8,3.9,4.8,0.4,1
1,0.303,1.7,0.306,0.379,0.9,1.6,2.5,0.2,0
1,0.257,2.1,0.241,0.336,1.3,1.7,2.9,0.3,0
1,0.414,0.9,0.4,0.483,0.2,1.4,1.6,0.1,0
1,0.376,5.3,0.48,0.478,0.7,4.3,5.0,0.6,0
2,0.404,1.0,0.491,0.471,0.6,0.8,1.4,0.2,1
0,0.69,0.0,0.69,0.69,2.4,3.5,5.9,1.3,0
4,0.48,2.3,0.555,0.544,1.1,1.9,3.0,0.3,1
1,0.435,1.2,0.488,0.5,0.5,1.4,2.0,0.3,0
2,0.479,4.5,0.541,0.582,0.4,2.5,2.9,0.1,1
4,0.667,1.5,0.75,0.7,1.0,2.0,3.0,0.5,1
0,0.448,3.0,0.527,0.517,1.4,3.1,4.4,0.5,0
4,0.4,0.5,0.333,0.5,0.5,1.3,1.8,0.0,1
2,0.222,0.5,1.0,0.278,0.1,0.4,0.4,0.0,1
4,0.432,5.4,0.559,0.544,0.4,1.8,2.2,0.2,1
0,0.5,0.3,0.6,0.5,0.3,1.3,1.7,0.7,0
4,0.44,7.3,0.578,0.542,1.0,2.9,4.0,0.4,1
3,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1
3,0.326,1.1,0.45,0.391,0.1,0.4,0.5,0.0,1
1,0.474,1.3,0.455,0.579,0.4,1.9,2.3,0.1,0
1,0.485,1.9,0.583,0.57,0.5,1.3,1.8,0.1,0
3,0.493,3.1,0.559,0.536,0.3,4.0,4.4,0.3,1
3,0.409,3.6,0.449,0.469,0.4,2.6,3.0,0.3,1
3,0.383,0.4,0.401,0.394,0.4,1.3,1.8,0.1,1
3,0.616,1.7,0.754,0.679,1.0,2.5,3.5,0.3,1
0,0.6,0.0,0.6,0.6,1.0,1.0,2.0,0.3,0
1,0.506,1.6,0.587,0.525,1.5,3.2,4.7,0.6,0
1,0.5,1.8,0.581,0.519,1.7,3.4,5.1,0.7,0
1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
1,0.36,3.0,0.455,0.49,0.5,2.0,2.5,0.5,0
4,0.359,1.6,0.444,0.487,0.1,1.0,1.1,0.1,1
0,0.641,0.0,0.645,0.641,2.4,5.3,7.7,0.7,0
0,0.618,0.0,0.618,0.619,3.9,5.5,9.3,1.7,0
1,0.408,3.2,0.498,0.47,1.2,4.0,5.2,0.6,0
4,0.313,0.8,0.286,0.406,0.4,0.6,1.0,0.3,1
2,0.448,7.6,0.55,0.548,0.4,3.0,3.4,0.3,1
3,0.415,6.8,0.456,0.511,0.7,3.7,4.4,0.4,1
4,0.359,5.3,0.491,0.408,1.0,5.6,6.6,0.2,1
1,0.464,3.4,0.565,0.56,1.4,4.4,5.7,0.5,0
0,0.479,4.7,0.533,0.555,2.5,6.6,9.1,0.7,0
1,0.459,4.9,0.532,0.51,2.0,6.1,8.1,1.6,0
1,0.451,5.1,0.537,0.499,1.9,5.8,7.7,1.7,0
1,0.475,4.6,0.522,0.531,2.2,6.6,8.8,1.5,0
0,0.455,0.7,0.556,0.455,1.3,1.7,3.0,0.3,0
0,0.671,0.5,0.703,0.687,2.1,2.8,4.9,0.5,0
3,0.294,0.5,0.364,0.324,0.1,0.5,0.5,0.0,1
4,0.456,5.7,0.492,0.542,0.4,2.9,3.3,0.4,1
2,0.508,4.8,0.487,0.611,0.6,2.2,2.8,0.8,1
2,0.374,2.7,0.444,0.452,0.6,1.6,2.3,0.5,1
1,0.454,3.3,0.565,0.564,0.4,2.1,2.5,0.3,0
2,0.429,3.5,0.461,0.564,0.5,1.4,1.9,0.1,1
2,0.455,2.4,0.667,0.591,0.7,0.9,1.6,0.1,1
0,0.447,0.0,0.447,0.447,1.0,1.2,2.2,0.6,0
3,0.392,5.1,0.448,0.487,0.4,2.8,3.2,0.0,1
2,0.414,0.9,0.475,0.457,0.2,0.5,0.7,0.1,1
1,0.411,5.4,0.458,0.459,1.7,8.2,9.9,0.5,0
2,0.459,2.7,0.616,0.542,0.7,2.4,3.2,0.3,1
4,0.404,3.8,0.442,0.485,0.5,1.6,2.1,0.3,1
4,0.402,4.5,0.421,0.487,0.6,1.9,2.5,0.3,1
4,0.415,2.1,0.559,0.477,0.3,1.1,1.4,0.3,1
2,0.503,1.8,0.587,0.618,0.3,2.0,2.3,0.2,1
0,0.563,0.2,0.591,0.573,1.2,1.3,2.4,0.4,0
0,0.489,2.2,0.568,0.549,1.3,2.6,3.9,0.9,0
0,0.667,0.0,0.667,0.667,0.7,1.0,1.7,0.4,0
2,0.438,3.8,0.458,0.534,0.6,2.2,2.8,0.4,1
2,0.443,3.5,0.481,0.534,0.6,2.3,2.8,0.5,1
2,0.429,4.3,0.416,0.534,0.8,2.1,2.9,0.3,1
2,0.417,3.4,0.563,0.53,0.3,1.4,1.7,0.1,1
2,0.399,7.9,0.569,0.559,0.3,2.3,2.6,0.2,1
3,0.301,2.4,0.313,0.398,0.2,0.7,0.8,0.0,1
3,0.316,2.2,0.4,0.404,0.1,0.6,0.8,0.0,1
3,0.125,1.0,0.2,0.125,0.0,0.3,0.3,0.0,1
3,0.321,4.2,0.143,0.464,0.4,1.0,1.4,0.2,1
0,0.761,0.0,0.761,0.761,4.1,4.5,8.6,1.8,0
0,0.414,3.4,0.478,0.503,1.5,4.1,5.6,0.3,0
1,0.514,2.2,0.545,0.582,1.7,3.2,4.8,0.8,0
3,0.386,2.3,0.42,0.474,0.4,2.4,2.8,0.2,1
3,0.324,1.7,0.366,0.38,0.6,2.2,2.7,0.3,1
3,0.429,2.8,0.468,0.538,0.2,2.6,2.8,0.0,1
3,0.445,3.5,0.467,0.513,0.8,2.2,3.0,0.5,1
2,0.397,4.2,0.493,0.467,0.3,2.2,2.6,0.2,1
2,0.444,8.1,0.516,0.539,0.8,3.5,4.3,0.3,1
3,0.363,5.1,0.38,0.434,0.4,3.7,4.1,0.2,1
3,0.411,8.0,0.492,0.502,0.4,2.9,3.3,0.3,1
4,0.2,5.0,0.0,0.3,0.0,0.0,0.0,0.0,1
0,0.58,2.3,0.639,0.61,3.3,8.8,12.1,0.5,0
1,0.554,1.1,0.584,0.564,3.1,9.3,12.3,0.3,0
0,0.574,1.3,0.625,0.639,1.5,2.7,4.2,0.7,0
2,0.377,1.0,0.442,0.406,0.5,1.8,2.3,0.1,1
2,0.299,1.0,0.355,0.322,0.6,1.4,2.0,0.0,1
2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
2,0.476,1.0,0.548,0.512,0.4,2.4,2.8,0.2,1
2,0.091,1.5,0.0,0.136,0.5,1.5,2.0,0.0,1
4,0.419,2.1,0.56,0.519,0.4,1.9,2.3,0.1,1
2,0.44,3.9,0.485,0.497,0.6,2.8,3.3,0.1,1
3,0.393,3.9,0.439,0.461,0.4,2.9,3.3,0.2,1
4,0.5,0.5,0.6,0.5,0.5,0.5,1.0,0.5,1
2,0.391,1.2,0.48,0.457,0.1,0.8,0.9,0.2,1
2,0.25,0.7,0.0,0.375,0.0,0.3,0.3,0.0,1
0,0.474,1.6,0.539,0.502,1.9,3.5,5.5,0.9,0
2,0.45,4.1,0.538,0.487,1.2,2.1,3.3,0.0,1
2,0.394,4.8,0.45,0.521,0.2,1.6,1.8,0.1,1
1,0.577,0.2,0.592,0.584,2.5,2.5,5.0,0.5,0
1,0.494,3.2,0.527,0.525,1.9,6.6,8.5,0.6,0
1,0.533,0.0,0.533,0.533,1.3,2.3,3.6,0.1,0
1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1,0.533,0.0,0.533,0.533,1.4,2.4,3.9,0.1,0
0,0.267,0.6,0.3,0.3,0.6,0.6,1.1,0.1,0
2,0.443,7.8,0.49,0.555,0.5,2.2,2.6,0.1,1
3,0.365,2.0,0.409,0.375,0.5,4.8,5.3,1.0,1
1,0.722,0.0,0.722,0.722,1.5,2.6,4.1,0.5,0
2,0.1,2.3,0.0,0.15,0.0,2.0,2.0,0.3,1
3,0.317,1.6,0.333,0.383,0.3,1.1,1.4,0.2,1
3,0.256,1.4,0.28,0.302,0.3,1.2,1.5,0.2,1
3,0.471,2.3,0.5,0.588,0.3,1.0,1.3,0.3,1
3,0.418,5.1,0.506,0.501,0.6,3.2,3.8,0.3,1
3,0.418,0.7,0.451,0.434,0.5,1.8,2.4,0.3,1
3,0.43,1.0,0.441,0.459,0.4,1.8,2.2,0.4,1
3,0.395,0.7,0.394,0.422,0.3,1.2,1.5,0.3,1
3,0.457,1.5,0.478,0.488,0.5,2.5,3.0,0.5,1
1,0.503,2.4,0.596,0.56,2.0,4.0,6.0,0.8,0
1,0.46,1.3,0.551,0.493,1.9,2.9,4.8,0.6,0
1,0.531,3.8,0.631,0.603,2.1,5.5,7.6,1.0,0
4,0.2,0.9,0.5,0.25,0.2,0.4,0.7,0.0,1
4,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,1
4,0.25,0.9,0.5,0.313,0.1,0.4,0.6,0.0,1
2,0.404,2.4,0.558,0.535,0.3,1.6,1.9,0.2,1
2,0.371,2.0,0.545,0.495,0.3,1.6,1.9,0.2,1
2,0.446,3.5,0.571,0.588,0.3,1.7,2.1,0.1,1
2,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1
2,0.413,1.9,0.517,0.457,0.6,1.6,2.1,0.2,1
2,0.357,1.3,0.25,0.5,0.1,0.3,0.4,0.0,1
2,0.375,2.0,0.25,0.5,0.5,1.0,1.5,0.0,1
2,0.333,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1
4,0.385,0.5,0.5,0.385,0.2,2.3,2.5,0.0,1
2,0.458,2.2,0.516,0.502,0.3,2.5,2.8,0.1,1
1,0.489,1.0,0.543,0.517,0.7,1.9,2.6,0.3,0
0,0.51,0.6,0.529,0.526,3.2,5.5,8.7,1.1,0
4,0.441,6.5,0.557,0.602,0.4,2.6,3.0,0.2,1
3,0.361,4.1,0.443,0.4,0.5,3.0,3.6,0.4,1
2,0.75,0.3,1.0,0.75,0.0,0.0,0.0,0.0,1
3,0.363,2.8,0.42,0.434,0.3,1.2,1.4,0.1,1
4,0.498,2.6,0.569,0.541,1.7,3.7,5.4,0.5,1
4,0.453,8.6,0.524,0.526,1.1,6.9,8.0,0.6,1
2,0.614,1.2,0.676,0.641,2.9,2.3,5.2,0.2,1
2,0.376,3.1,0.473,0.476,0.5,1.9,2.4,0.4,1
1,0.0,0.0,0.0,0.0,2.7,2.3,5.0,0.0,0
3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0
0,0.519,2.3,0.641,0.576,1.3,3.6,4.9,0.7,0
0,0.469,3.0,0.61,0.534,1.2,3.8,5.0,0.7,0
0,0.598,1.3,0.679,0.643,1.3,3.4,4.7,0.7,0
2,0.444,0.8,0.667,0.5,0.2,0.7,0.8,0.1,1
2,0.433,2.6,0.52,0.48,0.2,2.2,2.4,0.1,1
3,0.401,3.8,0.464,0.485,0.2,1.1,1.3,0.2,1
3,0.308,5.5,0.412,0.372,0.3,1.8,2.0,0.5,1
3,0.375,3.0,0.6,0.375,0.0,0.0,0.0,0.0,1
3,0.433,3.4,0.468,0.529,0.2,1.1,1.2,0.2,1
2,0.41,2.3,0.465,0.541,0.1,1.2,1.3,0.1,1
2,0.429,9.3,0.477,0.529,0.5,3.4,3.9,0.5,1
1,0.528,0.1,0.53,0.53,2.1,2.9,5.1,0.4,0
1,0.503,0.0,0.5,0.507,2.4,3.0,5.4,0.4,0
1,0.542,0.0,0.542,0.542,1.8,2.8,4.5,0.5,0
1,0.565,0.1,0.578,0.565,1.8,3.0,4.7,0.3,0
1,0.436,0.8,0.607,0.5,0.3,1.0,1.3,0.3,0
2,0.5,2.2,0.673,0.575,0.6,1.7,2.3,1.1,1
0,0.339,2.4,0.39,0.445,0.6,1.1,1.7,0.4,0
1,0.454,0.9,0.527,0.477,1.2,1.8,3.0,0.3,0
1,0.269,1.3,0.3,0.346,0.3,0.8,1.0,0.2,0
1,0.531,2.3,0.655,0.586,1.0,2.8,3.7,0.5,0
4,0.489,1.2,0.588,0.549,0.4,2.0,2.4,0.2,1
0,0.529,4.9,0.58,0.591,2.6,7.2,9.8,1.1,0
2,0.414,7.8,0.445,0.511,0.4,2.4,2.7,0.3,1
1,0.484,2.7,0.54,0.577,1.4,4.0,5.5,0.2,0
2,0.667,1.0,0.5,0.889,0.6,1.0,1.6,0.0,1
2,0.5,0.7,0.0,0.75,0.3,1.0,1.3,0.0,1
2,0.714,1.5,0.5,0.929,1.0,1.0,2.0,0.0,1
0,0.509,4.4,0.662,0.587,1.5,5.5,7.1,2.8,0
0,0.544,2.1,0.581,0.574,3.1,8.3,11.4,0.8,0
2,0.379,2.0,0.316,0.523,0.4,1.4,1.8,0.0,1
2,0.371,2.0,0.278,0.516,0.4,1.3,1.7,0.0,1
2,0.5,1.5,1.0,0.625,0.0,2.0,2.0,0.0,1
1,0.587,0.2,0.605,0.59,2.9,5.5,8.4,0.6,0
3,0.403,9.9,0.44,0.513,0.7,3.8,4.4,0.5,1
4,0.427,5.4,0.492,0.516,0.6,3.7,4.3,0.6,1
3,0.417,4.8,0.5,0.533,0.3,1.5,1.9,0.2,1
0,0.473,4.5,0.537,0.518,1.9,9.1,11.0,1.0,0
1,0.456,2.8,0.64,0.574,0.6,2.3,2.9,0.1,0
4,0.468,3.4,0.511,0.517,1.1,3.4,4.5,0.4,1
0,0.497,3.2,0.672,0.581,0.7,3.0,3.7,0.2,0
1,0.394,1.3,0.489,0.486,0.6,0.6,1.2,0.1,0
3,0.403,5.4,0.444,0.501,0.4,2.6,3.0,0.2,1
2,0.407,5.0,0.487,0.48,0.3,2.3,2.6,0.3,1
2,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1
2,0.35,1.3,0.417,0.4,0.0,1.3,1.3,0.2,1
3,0.231,4.3,0.231,0.288,0.7,2.7,3.3,1.3,1
3,0.364,0.7,0.4,0.39,0.3,1.4,1.7,0.3,1
3,0.361,0.8,0.4,0.389,0.3,1.3,1.6,0.3,1
3,0.4,0.0,0.4,0.4,0.0,4.0,4.0,0.0,1
3,0.405,4.5,0.434,0.5,0.1,1.6,1.7,0.1,1
1,0.47,4.6,0.606,0.573,1.3,3.9,5.2,0.9,0
4,0.406,2.1,0.492,0.504,0.5,1.9,2.4,0.4,1
2,0.406,5.8,0.621,0.557,0.2,2.7,2.9,0.3,1
3,0.286,3.0,0.4,0.357,0.0,1.3,1.3,0.0,1
3,0.25,4.5,0.333,0.333,0.0,2.0,2.0,0.0,1
3,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1
4,0.532,0.8,0.581,0.549,1.2,3.0,4.1,0.6,1
4,0.343,2.9,0.667,0.429,0.3,2.7,3.0,0.3,1
2,0.571,0.5,0.688,0.595,0.2,1.1,1.3,0.1,1
3,0.444,3.4,0.485,0.476,1.4,6.0,7.4,0.3,1
3,0.433,5.8,0.491,0.539,0.3,2.7,3.0,0.2,1
2,0.421,4.9,0.515,0.493,0.5,3.0,3.5,0.8,1
2,0.426,5.3,0.519,0.497,0.5,3.0,3.5,0.9,1
2,0.409,4.3,0.504,0.483,0.5,2.9,3.4,0.6,1
0,0.652,0.0,0.652,0.652,2.6,5.0,7.6,1.6,0
2,0.357,1.5,0.462,0.482,0.1,0.3,0.5,0.1,1
2,0.463,2.8,0.573,0.525,1.0,2.5,3.6,0.2,1
