,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
427,C,-0.008060131394109327,CLE,-1.330980592697852,-0.6955341014858272,-1.1071771206281833,-1.0592390869688042,-0.8277470722191637,-1.5107134692819248,-1.0229617545618186,-0.9221792444206826,-1.7316158277428113,-0.8497767319295813,-0.5705360932861373,-1.307919360941546,-1.8288405642317773,-0.15149161481749043,-0.04026410965893895,0.04470819705497909,0.24702670623245393,-1.126870034271925,-0.7771823170927428,-0.7137506208243695,-1.3651799072033024,0.40538211566249316,-1.201280327669065,-1.2773797231323685,-0.9408333520369087
428,C,-0.008060131394109327,MIL,-1.36959074908973,-0.6955341014858272,-1.57424724731561,-1.2837547930695066,-1.1495721507335188,-2.846273460162809,-1.0229617545618186,-1.148435446160384,-1.7316158277428113,-1.1334405363322078,-0.8835366170677947,-2.683502149317356,-3.1002643019792098,-0.9386928069973821,-0.9974408482576678,-2.2954155175054907,0.24702670623245393,-1.4078444116151947,-0.9906909876939598,-0.9906847455969209,-1.3651799072033024,-0.976048784921282,-1.201280327669065,-0.6729461711853479,-1.266951127130138
429,C,-0.008060131394109327,BOS,-0.9448790287790714,-0.6955341014858272,-1.1486944652226212,-0.834723380868102,-0.9779321088591961,0.9667503138021148,-1.0229617545618186,-1.0126817251165632,-1.7316158277428113,-0.5661129275269547,-0.7583364075551318,1.2011436450559316,0.5296504692897094,-0.7812525685614038,-0.806005500537922,0.04470819705497909,-0.021473231821712423,-0.6773110305226933,-0.5209719123712823,-0.6029769709153489,-0.6584077839782934,-0.4234764246877719,-1.201280327669065,-1.1564930127429642,-0.9082215745275858
430,SG,-1.238780194263816,OKC,-0.24989621372526624,-0.3576090125583395,0.5016199824062867,-0.2509825450062763,-0.1626419099561631,-0.12840887872021,0.2817327495770431,0.3448554853216456,0.32756484005126774,-0.4526474057659041,-0.47663593615164007,0.18871471281133564,0.09736639845558268,-0.46637209168944715,-0.5507583702449277,0.7358691742190158,-0.2899731698758789,0.16561210150711603,0.034150631191882094,0.06166492853877449,0.048364339246715696,-0.14719024457101693,0.0374425037195552,0.7776943534875015,-0.2559860243411274
431,SF,-0.5003481565419919,CHO,-1.330980592697852,-0.6955341014858272,-1.6261439280586574,-1.2837547930695066,-1.2568471769049705,-2.846273460162809,-1.0229617545618186,-0.9221792444206826,-1.7316158277428113,-1.1334405363322078,-1.1965371408494523,-2.683502149317356,-3.1002643019792098,-0.9386928069973821,-0.9974408482576678,-2.2954155175054907,-1.0954729840383781,-1.4078444116151947,-1.4177083288963939,-0.9906847455969209,-1.3651799072033024,-0.976048784921282,-1.201280327669065,-1.2773797231323685,-1.266951127130138
432,SF,-1.7310682194116986,GSW,1.294510041949856,-0.1886464680945956,-0.13151952265889197,0.24295200841526868,0.05190814238674034,0.5794379164466588,-0.19270161556436124,-0.19815939885363779,0.3842395373300039,0.39834400744197557,0.18066516378984088,0.6068918804775817,0.5042219945347607,0.556989458144412,0.7254772812200442,0.10435153010974374,-0.021473231821712423,0.05322235056980826,-0.00855110292836136,-0.4922033210063283,-0.4228170762366236,-0.14719024457101693,0.16131478685841733,0.6568076430980974,0.24949652705337794
433,PF,-0.008060131394109327,WAS,1.140069416382344,2.0923478821659467,1.5810709418616729,1.5900462450194823,1.6824885401928062,0.17209211922798917,1.2306014798598515,1.430885253672213,0.4157254802626351,1.419533703291431,1.4639673112946365,0.21072403742534862,0.2054374161641145,0.9505900542343578,1.1083479766595354,0.2025876080822969,0.38127667525953723,2.750576373065199,2.2119390713242963,0.9478541278109391,0.048364339246715696,1.5105268361295134,2.0193990339413475,0.4150342223192889,1.521355849916972
434,SF,-0.5003481565419919,SAS,-1.330980592697852,-0.6955341014858272,-1.4704538858295153,-1.2837547930695066,-1.1495721507335188,-2.846273460162809,-1.0229617545618186,-0.695923042680981,-1.7316158277428113,-1.1334405363322078,-1.1965371408494523,-2.683502149317356,-3.1002643019792098,-0.9386928069973821,-0.9974408482576678,-2.2954155175054907,-1.0954729840383781,-1.126870034271925,-1.2041996582951768,-0.43681649605181805,-1.3651799072033024,-0.976048784921282,-1.201280327669065,-1.8818132750793888,-1.266951127130138
436,SF,0.7303719063277146,IND,0.0975951938016363,-0.6955341014858272,-0.2560715564422057,-0.2958856862264166,-0.11973189948758237,-0.35545407716996014,0.16312415829169194,0.20910176427782484,0.3653479715704252,-0.4526474057659041,-0.3201356742608113,-0.4055370517670146,-0.18870394253758951,0.3995492197084337,0.34260658578055264,0.6446499589587874,-0.5584731079300452,-0.28394690224211555,-0.39286671001055207,-0.27065602118828713,0.048364339246715696,0.1290959355457382,-0.45804662883589287,-0.5520594607959437,-0.10923302554917434
437,SG,0.7303719063277146,SAC,-0.7518282468196811,-0.6955341014858272,0.0760672003132977,-0.026466838905574056,0.13772816332390178,-0.15512007853782733,0.04451556700634093,0.25435300462576516,0.1701351253881117,-0.05551807960222702,0.024164901899011975,-0.014871539868284453,-0.10606139958400668,0.0846687428364771,-0.04026410965893895,0.6727174098080885,-0.2899731698758789,0.22180697697577004,0.07685236531212554,0.006278103584264279,-0.18722636849495394,0.40538211566249316,-0.21030206255816875,-0.793832881574752,0.021214084488117443
438,C,-0.008060131394109327,SAS,0.6767475396798072,-0.6532934653698913,-0.7542796915754608,-0.4305951098868381,-0.5488320041733892,0.45923751726737916,-0.4299187981350633,-0.42441560059333927,0.3212676514647415,-0.39591464488537875,-0.5392360409079715,0.7609571527756726,0.4978648758460235,-0.46637209168944715,-0.48694658767167903,0.6130740767533238,0.5155266442866202,-0.6211161550540394,-0.3074632417700651,-0.5475901459608385,-0.893998491719963,-0.14719024457101693,-0.45804662883589287,-0.6729461711853479,-0.4679625781517263
439,SG,-0.9926361816898746,TOT,0.44508660132853883,-0.4843309209061474,-0.21455421184776755,-0.5204013923271189,-0.5059219937048085,0.05856952000311393,-0.3113102068497123,-0.3339131198974587,0.4157254802626351,-0.5093801666464294,-0.5079359885298057,0.11718440781579344,0.14186622927674286,-0.5450922109074363,-0.4231348050984305,-0.3727951343283731,-0.2899731698758789,-0.5087264041167313,-0.4355684441307955,-0.7691374457788797,-0.18722636849495394,-0.14719024457101693,-0.8296634782524789,-0.6729461711853479,-0.5331861331703722
